idUser,SalesYear,SalesMonth,Price,간편식사_도시락,간편식사_샌드위치,간편식사_주먹밥,과자류_껌/초,과자류_빵/디,과자류_스낵,식품_가공식,식품_식재료,식품_안주류,아이스크_아이스,음료_아이스,음료_유제품,음료_음료,즉석조리_베이커,즉석조리_즉석커,즉석조리_튀김류,VisitCount,Gender_남성,Gender_여성,AgeGroup_10대,AgeGroup_20대,AgeGroup_30대,AgeGroup_40대,AgeGroup_50대,AgeGroup_60대이상,TempAvg,RainfallAmount,HumidAvg
U100282,2021,12,22200,0,0,1,0,0,2,1,0,2,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0.5838709677419355,0.25483870967741934,61.49032258064516
U100282,2022,1,800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,-2.196774193548387,0.1774193548387097,55.21290322580645
U100282,2022,2,19500,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,-1.125,0.16785714285714287,54.69642857142857
U100282,2022,3,31450,0,0,0,1,0,2,2,3,1,1,0,0,2,0,0,0,6,1,0,0,1,0,0,0,0,7.65483870967742,3.3096774193548386,61.93225806451613
U100282,2022,4,24100,0,0,0,0,0,3,0,1,2,1,0,0,2,0,0,0,4,1,0,0,1,0,0,0,0,14.753333333333332,0.6799999999999999,55.03
U100282,2022,5,28300,0,0,0,4,0,0,0,3,0,0,1,0,4,1,0,1,7,1,0,0,1,0,0,0,0,19.12258064516129,0.24193548387096775,55.335483870967735
U100282,2022,6,57270,0,1,1,0,2,0,5,4,2,1,2,0,3,0,0,0,5,1,0,0,1,0,0,0,0,23.303333333333335,13.126666666666667,73.37666666666668
U100282,2022,7,83650,1,0,3,0,2,1,4,2,1,2,1,1,4,0,0,0,8,1,0,0,1,0,0,0,0,27.32903225806452,8.138709677419355,77.23225806451612
U100282,2022,8,43450,0,1,1,3,3,2,0,4,1,0,0,1,2,0,0,0,8,1,0,0,1,0,0,0,0,25.741935483870968,18.219354838709677,80.17096774193548
U100282,2022,9,73200,0,1,0,4,2,2,2,5,0,2,0,2,4,2,0,0,9,1,0,0,1,0,0,0,0,22.353333333333335,6.716666666666667,68.09
U100282,2022,10,88250,2,0,0,1,0,1,5,4,1,3,0,0,2,0,0,0,8,1,0,0,1,0,0,0,0,14.564516129032258,4.003225806451613,68.88709677419355
U100282,2022,11,23100,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,5,1,0,0,1,0,0,0,0,10.03,2.816666666666667,64.39
U100282,2022,12,54000,0,0,0,0,2,1,3,2,2,1,0,0,2,0,0,0,4,1,0,0,1,0,0,0,0,-2.8161290322580643,0.43870967741935485,58.91935483870968
U100283,2021,1,89700,0,2,0,4,4,5,5,5,2,0,3,1,3,1,0,2,14,1,0,0,1,0,0,0,0,-2.370967741935484,0.6096774193548387,57.45161290322581
U100283,2021,2,35400,0,0,0,3,1,4,3,0,1,1,0,1,1,0,0,0,12,1,0,0,1,0,0,0,0,2.732142857142857,0.25357142857142856,55.43928571428571
U100283,2021,3,193450,2,0,2,3,6,5,10,6,4,9,3,2,7,0,0,1,22,1,0,0,1,0,0,0,0,9.016129032258064,3.57741935483871,62.84516129032258
U100283,2021,4,171900,2,0,0,4,3,6,2,12,2,6,1,0,7,0,0,0,18,1,0,0,1,0,0,0,0,14.196666666666665,4.136666666666667,54.21
U100283,2021,5,166250,4,1,1,4,1,3,12,7,7,4,1,0,4,0,0,2,23,1,0,0,1,0,0,0,0,17.067741935483873,5.9064516129032265,68.14838709677419
U100283,2021,6,188650,2,3,3,5,5,6,12,8,5,1,0,3,10,0,0,2,25,1,0,0,1,0,0,0,0,22.816666666666666,3.4866666666666664,72.49666666666667
U100283,2021,7,221620,0,5,1,3,9,5,10,12,12,4,2,4,8,0,0,0,32,1,0,0,1,0,0,0,0,28.11935483870968,5.429032258064517,70.90967741935484
U100283,2021,8,216200,1,2,3,6,8,5,12,10,5,5,0,1,10,1,0,1,30,1,0,0,1,0,0,0,0,25.858064516129033,6.812903225806451,74.2258064516129
U100283,2021,9,243400,0,1,2,7,7,3,19,7,4,3,2,2,6,3,0,1,30,1,0,0,1,0,0,0,0,22.596666666666668,4.366666666666666,70.88333333333334
U100283,2021,10,200600,1,0,2,5,6,7,15,12,3,3,0,3,7,0,0,0,28,1,0,0,1,0,0,0,0,15.574193548387097,1.8387096774193548,69.72258064516129
U100283,2021,11,184200,2,2,1,4,2,8,9,14,7,4,1,3,5,1,0,0,28,1,0,0,1,0,0,0,0,8.18,2.08,67.84666666666666
U100283,2021,12,172600,0,2,1,7,6,2,11,9,2,3,0,3,11,3,1,0,28,1,0,0,1,0,0,0,0,0.5838709677419355,0.25483870967741934,61.49032258064516
U100283,2022,1,116700,0,2,0,7,5,4,11,5,2,5,0,0,6,0,0,0,21,1,0,0,1,0,0,0,0,-2.196774193548387,0.1774193548387097,55.21290322580645
U100283,2022,2,124300,0,1,0,6,2,2,3,4,2,1,2,2,2,0,0,1,11,1,0,0,1,0,0,0,0,-1.125,0.16785714285714287,54.69642857142857
U100283,2022,3,164600,1,1,2,7,2,5,7,5,7,4,0,1,9,0,0,1,21,1,0,0,1,0,0,0,0,7.65483870967742,3.3096774193548386,61.93225806451613
U100283,2022,4,111150,0,1,0,3,3,2,9,2,2,3,1,2,6,0,0,1,16,1,0,0,1,0,0,0,0,14.753333333333332,0.6799999999999999,55.03
U100283,2022,5,159800,2,0,2,2,8,4,9,8,4,2,2,0,14,0,0,1,26,1,0,0,1,0,0,0,0,19.12258064516129,0.24193548387096775,55.335483870967735
U100283,2022,6,100450,0,1,1,4,2,5,9,4,2,2,1,0,8,1,0,0,19,1,0,0,1,0,0,0,0,23.303333333333335,13.126666666666667,73.37666666666668
U100283,2022,7,204350,2,0,2,3,4,5,15,8,5,4,1,2,17,0,0,0,29,1,0,0,1,0,0,0,0,27.32903225806452,8.138709677419355,77.23225806451612
U100283,2022,8,149600,0,2,1,3,4,6,6,9,4,1,1,0,5,0,0,1,21,1,0,0,1,0,0,0,0,25.741935483870968,18.219354838709677,80.17096774193548
U100283,2022,9,125000,0,3,0,4,9,1,7,4,4,5,1,1,4,0,0,0,18,1,0,0,1,0,0,0,0,22.353333333333335,6.716666666666667,68.09
U100283,2022,10,159170,1,1,0,3,4,3,10,4,4,3,0,0,10,2,0,1,23,1,0,0,1,0,0,0,0,14.564516129032258,4.003225806451613,68.88709677419355
U100283,2022,11,189680,1,2,3,1,3,4,14,6,4,4,1,1,6,0,0,2,18,1,0,0,1,0,0,0,0,10.03,2.816666666666667,64.39
U100283,2022,12,164490,1,0,1,1,6,3,9,7,5,3,1,1,1,0,0,1,16,1,0,0,1,0,0,0,0,-2.8161290322580643,0.43870967741935485,58.91935483870968
U100284,2021,4,29300,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,14.196666666666665,4.136666666666667,54.21
U100284,2021,5,5600,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,17.067741935483873,5.9064516129032265,68.14838709677419
U100284,2021,7,28400,0,0,0,0,1,0,1,2,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,28.11935483870968,5.429032258064517,70.90967741935484
